Search_uid,Search_query,region,brand,group,Search_result,Search_uid_sales,Sale
024ca16152adc0cd904ae26d1c10a008,DF1654,1,4,4,1,024ca16152adc0cd904ae26d1c10a008,1.0
02516decedd4a0f2762e3ed9ec26ead5,6205MC,0,14,1,0,0,0.0
02517fe95dae02eacf127d0494323c0f,CEHO-41,0,369,48,0,0,0.0
02537db0474a8d6913b07d387b9aa240,44022AA020,1,331,68,0,0,0.0
0253e5e3b39a3fcb2d64a21c42ee973a,56210-WD326,1,307,12,0,0,0.0
0259839105c031ce6ec78a861ab7cc8a,SA-150-03,0,603,177,1,0,0.0
025bbda54de9120892057eba8845098e,PK099,0,63,25,1,0,0.0
025c7348852b23d9e503e09953b30f7a,11324,1,63,12,1,0,0.0
025e1b86c7b49795bdb1a05aa8d08bae,1 987 477 906,1,160,57,1,0,0.0
025eba86d3a46a22c44585b47694a2f3,56011300,1,34,95,1,0,0.0
025f88f654e07cf7d9f36099a5f8b124,2568101,0,180,50,0,0,0.0
025f8928fa804d58c6e616bb252636ee,CVKH-66,1,369,27,1,025f8928fa804d58c6e616bb252636ee,1.0
025fd73a3aa576b2b1dc2c71a510632f,03-083,1,642,9,1,025fd73a3aa576b2b1dc2c71a510632f,1.0
02607263fcf8dac9357d2a46fb1ef3d8,0 265 007 527,0,160,74,1,02607263fcf8dac9357d2a46fb1ef3d8,1.0
0264a893ecdf59beb2f74dd96d2aaae6,N24J31WB,1,596,27,1,0,0.0
02686b0f42d0af6bdb28c9b62ae6c52d,22099,0,124,60,1,0,0.0
026970afdd5a10e20f002131bdb233c0,349079,1,31,12,1,026970afdd5a10e20f002131bdb233c0,1.0
0274ea483a10f35646ec6b5c11692930,06676,0,124,27,1,0,0.0
027a075f7b82e4359be8833507b0a790,551811,0,31,12,1,0,0.0
027afcc51ddb7634d6512be5a6419ca4,K015670XS,1,14,15,1,0,0.0
027c031ca6161cd890c1ee4c099a4c38,N24A33WS,1,596,27,1,0,0.0
027fce1cbe354c4b1dcce967c3391764,PB-5048,1,499,17,1,0,0.0
02802cff45ffa6272efb91531651269a,K015669XS,0,14,15,1,0,0.0
028a852f29dde7b0200343599e30d494,48815-42040,1,301,31,0,0,0.0
02946d37b1874e3a343b6f9ec009cb3e,45141,0,22,48,1,02946d37b1874e3a343b6f9ec009cb3e,1.0
02948abd276a5fae4630bea0a17df94f,ME-1577,1,499,20,1,02948abd276a5fae4630bea0a17df94f,1.0
02966820973d98466f8b73a1f8f8be43,C4B-17061,1,625,51,0,0,0.0
029736308529cfa409a4252ca75b41ab,DF4828S,0,4,4,1,0,0.0
0297d56b4f9558b05f167fcb1c9d27bb,40G3569,1,14,90,0,0,0.0
029dfb0ecd6ad86171548434f13be3b2,33747 01,1,141,29,1,0,0.0
02a224785de4d09f1a2afa910eed908a,35168-60010,1,301,35,0,0,0.0
02a4cb50aea5e16e569fef23e5b7e3f8,66240CLC,1,224,6,1,0,0.0
02a530cf91e369ece2d4b7d859020275,K015669XS,0,14,15,1,0,0.0
02a946742418be3fd02f4ee7f910145d,PR-84622,1,499,25,1,02a946742418be3fd02f4ee7f910145d,1.0
02ac0007db66ae3d0a7b9b9421389f4b,48815-48040,1,301,31,0,0,0.0
02b6ca28479cbf131292426a1a6dc884,54618-AD000,1,307,26,0,0,0.0
02ba9b80c5e92d73a6d7c75f62da1a42,C4T-10251,1,625,51,1,0,0.0
02bac6c9ac58fccd24101ef1d7ee0ea9,64211NBU,1,224,6,1,0,0.0
02bd09da2a9bad1b0f4cc80f95e8a00e,JTE2159,0,4,48,1,0,0.0
02c032b6cbbe729f6a1e68e8494eb604,333197,1,31,12,1,0,0.0
02c0c73e978ec7272012e557ed4a8a32,C 2329,1,131,40,1,02c0c73e978ec7272012e557ed4a8a32,1.0
